Dataset,Comparison,b11,b12,b21,b22,Acc_A,Acc_B,Diff,p_value,Cohens_h,Effect,Significant
advisorqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",52,1,16,31,0.53,0.68,-0.15000000000000002,0.000274658203125,-0.30823183499136175,medium,Yes
advisorqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",41,17,0,42,0.58,0.41,0.16999999999999998,1.52587890625e-05,0.3416771041984581,medium,Yes
amqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",60,12,0,28,0.72,0.6,0.12,0.00048828125,0.2542407526054924,medium,Yes
amqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",87,0,7,6,0.87,0.94,-0.06999999999999995,0.015625,-0.24279184211235316,medium,Yes
bbq_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",78,7,3,12,0.85,0.81,0.039999999999999925,0.34375,0.10665479340838147,small,No
bbq_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",64,13,14,9,0.77,0.78,-0.010000000000000009,1.0,-0.023948690601140132,small,No
gpqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",24,8,7,61,0.32,0.31,0.010000000000000009,1.0,0.021528403037620603,small,No
gpqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",61,6,12,21,0.67,0.73,-0.05999999999999994,0.237884521484375,-0.1310783009917904,small,No
halueval_qa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",46,3,10,41,0.49,0.56,-0.07000000000000006,0.09228515625,-0.14029121596817884,small,No
halueval_qa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",59,16,1,24,0.75,0.6,0.15000000000000002,0.000274658203125,0.3222408548079678,medium,Yes
harp_mcq_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",3,3,1,93,0.06,0.04,0.019999999999999997,0.625,0.09221828476023392,small,No
harp_mcq_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",92,3,3,2,0.95,0.95,0.0,1.0,0.0,small,No
plausibleqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",47,5,9,39,0.52,0.56,-0.040000000000000036,0.4239501953125,-0.08027920804079902,small,No
plausibleqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",56,6,4,34,0.62,0.6,0.020000000000000018,0.75390625,0.041007930248632585,small,No
socialiqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",49,2,19,30,0.51,0.68,-0.17000000000000004,0.00022125244140625,-0.3482665598632497,medium,Yes
socialiqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",79,12,2,7,0.91,0.81,0.09999999999999998,0.012939453125,0.29266831556173,medium,Yes
truthfulqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",462,13,131,183,0.6020278833967047,0.7515842839036755,-0.14955640050697083,1.045643154542324e-25,-0.3217623207081468,medium,Yes
truthfulqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",523,111,8,147,0.8035487959442332,0.6730038022813688,0.13054499366286443,2.5395880340833756e-24,0.29909041922459934,medium,Yes
