code,category,primary_count,primary_pct,all_count,all_pct
IC1,INTERNAL_INCOHERENCE,29,1.2,36,1.5
IC2,INTERNAL_INCOHERENCE,745,30.9,748,31.0
RE1,REASONING_ERROR,520,21.6,577,23.9
RE2,REASONING_ERROR,1,0.0,2,0.1
RE3,REASONING_ERROR,1,0.0,1,0.0
KI1,FRAMING_SHIFT,1,0.0,5,0.2
SA1,FRAMING_SHIFT,554,23.0,750,31.1
ES1,EVIDENTIAL_STANDARDS,198,8.2,211,8.8
ES2,EVIDENTIAL_STANDARDS,0,0,2,0.1
EP1,CONVERSATIONAL_ACCOMMODATION,189,7.8,210,8.7
EV1,EVALUATION_CRITERIA,166,6.9,182,7.6
EV2,EVALUATION_CRITERIA,1,0.0,3,0.1
UN1,UNEXPLAINED,5,0.2,3,0.1
